epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1542.01,1.40285,0.7021,0.0091,0.84859,0.79648,0.84637,0.42791,1.7675,0.83882,0.01288,0.0012476,0.0012476,0.0012476
59,1567.33,1.41069,0.71256,0.0092,0.85359,0.79426,0.84962,0.42681,1.78341,0.81873,0.01298,0.0012344,0.0012344,0.0012344
60,1592.99,1.39877,0.69718,0.00906,0.85753,0.80412,0.86522,0.43653,1.77604,0.82705,0.01295,0.0012212,0.0012212,0.0012212
61,1616.07,1.39786,0.69763,0.00915,0.83827,0.80902,0.85607,0.42805,1.77225,0.79599,0.01286,0.001208,0.001208,0.001208
62,1641.56,1.37916,0.6787,0.009,0.86201,0.79515,0.84985,0.43792,1.74969,0.81899,0.01265,0.0011948,0.0011948,0.0011948
63,1667.65,1.38465,0.69952,0.00894,0.84386,0.81832,0.86124,0.43488,1.77351,0.79518,0.01277,0.0011816,0.0011816,0.0011816
64,1690.59,1.38428,0.68414,0.00897,0.85604,0.8045,0.86171,0.4347,1.77784,0.82209,0.01281,0.0011684,0.0011684,0.0011684
65,1716.11,1.35434,0.67616,0.00889,0.86868,0.79836,0.86034,0.43551,1.76459,0.82319,0.01286,0.0011552,0.0011552,0.0011552
66,1741.26,1.35329,0.67689,0.00891,0.84386,0.81207,0.85219,0.42741,1.78662,0.83625,0.01296,0.001142,0.001142,0.001142
67,1764.32,1.35618,0.67196,0.00878,0.84583,0.81481,0.85398,0.42671,1.78147,0.8375,0.01298,0.0011288,0.0011288,0.0011288
68,1790.1,1.3522,0.66986,0.00881,0.84869,0.81674,0.85825,0.4273,1.79303,0.8032,0.01307,0.0011156,0.0011156,0.0011156
69,1815.58,1.36103,0.66121,0.00881,0.85684,0.81429,0.86155,0.43804,1.76834,0.80166,0.01284,0.0011024,0.0011024,0.0011024
70,1851.84,1.36456,0.67122,0.00905,0.86952,0.79158,0.85582,0.43044,1.78681,0.84352,0.01307,0.0010892,0.0010892,0.0010892
71,1874.84,1.35073,0.66642,0.00874,0.8451,0.81272,0.85575,0.43495,1.77008,0.83354,0.01286,0.001076,0.001076,0.001076
72,1900.19,1.34772,0.66486,0.00872,0.84918,0.80027,0.85229,0.43442,1.78116,0.84012,0.01289,0.0010628,0.0010628,0.0010628
73,1925.95,1.33922,0.66178,0.00873,0.86866,0.80263,0.86368,0.44058,1.77013,0.80102,0.01288,0.0010496,0.0010496,0.0010496
74,1949.14,1.33507,0.65426,0.0087,0.85136,0.81875,0.8572,0.43187,1.77206,0.81274,0.01291,0.0010364,0.0010364,0.0010364
75,1974.29,1.32828,0.63821,0.00858,0.86363,0.79392,0.85371,0.43416,1.77432,0.83782,0.01288,0.0010232,0.0010232,0.0010232
76,2000.17,1.33308,0.65559,0.00864,0.85191,0.81496,0.86708,0.44287,1.75425,0.80261,0.01264,0.00101,0.00101,0.00101
77,2024.3,1.32453,0.64819,0.00866,0.86795,0.7927,0.86516,0.44129,1.77458,0.81114,0.01286,0.0009968,0.0009968,0.0009968
78,2050.53,1.3081,0.63997,0.00856,0.85493,0.81095,0.86192,0.43731,1.76746,0.79902,0.01273,0.0009836,0.0009836,0.0009836
79,2076.77,1.3138,0.633,0.00842,0.8436,0.81118,0.86482,0.43742,1.77967,0.79103,0.01288,0.0009704,0.0009704,0.0009704
80,2101.1,1.30167,0.64744,0.00839,0.8547,0.81473,0.86254,0.43639,1.78201,0.78515,0.01278,0.0009572,0.0009572,0.0009572
81,2127.61,1.30285,0.64364,0.00848,0.85727,0.81541,0.85175,0.43221,1.77857,0.81278,0.01285,0.000944,0.000944,0.000944
82,2153.97,1.30397,0.63839,0.00844,0.85945,0.81017,0.86228,0.44034,1.77718,0.81325,0.01279,0.0009308,0.0009308,0.0009308
83,2182.51,1.30472,0.63786,0.00841,0.84168,0.80472,0.85094,0.42553,1.80628,0.81207,0.01313,0.0009176,0.0009176,0.0009176
